id,brandid,istestaccount,username,lockoutenddate,currencyid,languageid,status,blacklisted,isdeleted,islocked,isdormant,blockeddepositenddate,blockedwithdrawalsenddate,verificationvector,playerexcludedstatus,firstname,middlename,lastname,birthdate,risks,gender,promocode,sendsms,sendmail,sportstatusid,updateddate,createddate,creationtime,playerrgsid
1,7,False,user_1,,AMD,en,3,True,False,False,False,,,28,3,First1,Middle1,Last1,2015-06-06,3,1,PROMO1,0,1,1,2025-06-12 19:42:00.870612,2022-12-10 19:42:00.870613,2023-11-03 19:42:00.870615,691
2,2,True,user_2,,AMD,hy,1,True,True,True,True,,,241,2,First2,Middle2,Last2,2007-03-07,3,0,PROMO2,0,1,2,2025-06-12 19:42:00.870633,2024-07-18 19:42:00.870633,2024-10-01 19:42:00.870635,427
3,6,False,user_3,,USD,hy,3,True,True,True,True,,,23,3,First3,Middle3,Last3,1993-02-03,8,1,PROMO3,1,1,1,2025-06-12 19:42:00.870665,2023-11-24 19:42:00.870665,2024-03-02 19:42:00.870667,9
4,6,True,user_4,,EUR,hy,3,True,False,False,False,,,100,5,First4,Middle4,Last4,2014-07-08,4,0,PROMO4,0,1,1,2025-06-12 19:42:00.870683,2024-10-17 19:42:00.870684,2023-12-06 19:42:00.870685,355
5,1,False,user_5,,USD,hy,4,False,True,True,True,,,214,3,First5,Middle5,Last5,1992-09-08,3,1,PROMO5,0,0,2,2025-06-12 19:42:00.870701,2022-12-07 19:42:00.870702,2023-01-29 19:42:00.870703,533
6,7,False,user_6,,EUR,hy,1,True,True,False,True,,,31,3,First6,Middle6,Last6,1995-11-12,4,1,PROMO6,1,1,4,2025-06-12 19:42:00.870722,2023-06-26 19:42:00.870723,2023-02-12 19:42:00.870726,754
7,6,False,user_7,,EUR,ru,2,True,True,True,True,,,79,0,First7,Middle7,Last7,1997-05-17,8,1,PROMO7,1,1,1,2025-06-12 19:42:00.870758,2023-12-12 19:42:00.870758,2024-06-11 19:42:00.870760,988
8,4,False,user_8,,EUR,ru,3,True,True,True,False,,,20,1,First8,Middle8,Last8,2004-09-14,3,0,PROMO8,0,1,4,2025-06-12 19:42:00.870786,2024-01-04 19:42:00.870786,2025-04-23 19:42:00.870788,694
9,5,False,user_9,,USD,en,4,False,True,True,False,,,52,1,First9,Middle9,Last9,1995-06-13,1,0,PROMO9,0,0,2,2025-06-12 19:42:00.870804,2023-02-20 19:42:00.870804,2024-04-28 19:42:00.870806,382
10,2,False,user_10,,USD,en,1,True,False,True,True,,,169,0,First10,Middle10,Last10,1991-12-01,8,0,PROMO10,0,1,4,2025-06-12 19:42:00.870821,2024-01-21 19:42:00.870822,2025-05-13 19:42:00.870823,392
11,7,True,user_11,,EUR,en,2,False,False,False,True,,,17,4,First11,Middle11,Last11,2001-01-09,5,1,PROMO11,1,1,1,2025-06-12 19:42:00.870838,2025-03-15 19:42:00.870839,2024-08-30 19:42:00.870841,393
12,3,False,user_12,,USD,hy,5,True,True,False,False,,,245,4,First12,Middle12,Last12,2011-09-28,6,1,PROMO12,1,1,2,2025-06-12 19:42:00.870855,2025-05-17 19:42:00.870856,2024-07-21 19:42:00.870858,612
13,4,True,user_13,,EUR,en,4,False,True,True,True,,,126,5,First13,Middle13,Last13,2000-10-26,5,0,PROMO13,0,1,3,2025-06-12 19:42:00.870872,2022-10-29 19:42:00.870873,2023-02-04 19:42:00.870874,866
14,3,True,user_14,,USD,hy,3,False,True,False,True,,,96,3,First14,Middle14,Last14,2014-04-27,5,0,PROMO14,1,0,1,2025-06-12 19:42:00.870891,2025-04-16 19:42:00.870892,2024-10-17 19:42:00.870893,617
15,4,True,user_15,,AMD,ru,1,False,True,True,False,,,90,2,First15,Middle15,Last15,1992-09-02,1,0,PROMO15,0,0,5,2025-06-12 19:42:00.870907,2023-01-13 19:42:00.870908,2024-06-04 19:42:00.870910,984
16,2,False,user_16,,AMD,hy,4,True,False,False,False,,,69,1,First16,Middle16,Last16,2009-08-06,8,1,PROMO16,0,1,2,2025-06-12 19:42:00.870924,2023-08-01 19:42:00.870924,2023-10-18 19:42:00.870926,835
17,3,False,user_17,,EUR,hy,3,True,True,True,False,,,16,1,First17,Middle17,Last17,2017-01-08,6,0,PROMO17,0,1,2,2025-06-12 19:42:00.870940,2024-07-08 19:42:00.870940,2023-05-11 19:42:00.870942,80
18,4,False,user_18,,EUR,en,1,False,False,True,False,,,107,1,First18,Middle18,Last18,1993-01-15,6,1,PROMO18,0,0,1,2025-06-12 19:42:00.870965,2024-05-13 19:42:00.870965,2024-03-21 19:42:00.870967,751
19,7,True,user_19,,EUR,ru,4,False,False,True,False,,,115,1,First19,Middle19,Last19,2010-03-30,2,0,PROMO19,1,0,3,2025-06-12 19:42:00.870986,2024-09-18 19:42:00.870987,2022-10-12 19:42:00.870988,108
20,2,False,user_20,,USD,ru,2,True,True,False,False,,,15,3,First20,Middle20,Last20,1997-05-27,10,1,PROMO20,0,0,1,2025-06-12 19:42:00.871004,2024-07-08 19:42:00.871005,2024-11-14 19:42:00.871008,998
